Aaron Paquette
Lydia, Chukovskaya
L,. Frank Baum
Lynda, Suzanne Robinson
Lytton, Strachey
Maarten, 't Hart
Madeleine, L'Engle
Madeleine, St John
Madelon, Szekely-Lulofs
Maggie, Gee
Magnus, Mills
Mahmut, Makal
Máirtín, Ó Cadhain
Máirtín, Ó Direáin
Malcolm, Bradbury
Marcel, Proust
Marcus, Terentius Varro
Marga, Minco
Margaret, Atwood
Margaret, Mitchell
M,. J. Hyland
Marica, Bodrožić
Marija, Jurić Zagorka
Marina, Warner
Marinko, Koščec
Marion, Zimmer Bradley
Mark, Twain
Marlon, James
Marten, Toonder
Martial,
Martin, Amis
Martín, Prechtel
Mary, Brave Bird
Mary, Renault
Mary, Shelley
Mary, Webb
Mate, Balota
Matei, Călinescu
Mato, Lovrak
Matthew, Sweeney
Maureen, Jennings
Maurice, Kenny
Maurice, Sendak
Maxim, Gorky
Maya, Angelou
Melinda, Metz
Menander,
Meša, Selimović
Michael, Collins
Michael, Dorris
Michael, V. Gazzo
Michael, Ignatieff
Michael, Moorcock
Michael, Ondaatje
Michael, Scott Rohan
Michel, de Nostredame
Michel, de Montaigne
Michèle, Roberts
Mick, Jackson
Midas, Dekkers
Miguel, de Cervantes
Mihály, Vörösmarty
Mikhail, Lermontov
Mikha,'il Na'ima
Milan, Kundera
Milana, Vlaović
Miljenko, Jergović
Milovan, Vitezović
Mirko, Kovač
Miro, Gavran
Miroslav, Krleža
Moderata, Fonte
Molly, Keane
Monica, Ali
M,. R. James
Mordecai, Richler
Mourning, Dove
Muhsin, al-Ramli
Munir, Niazi
Muriel, Spark
Nada, Iveljić
Nalini, Singh
Naseem, Kharal
Natalie, Diaz
Natasha, Walter
Nathaniel, Hawthorne
N,. Scott Momaday
Nazım, Hikmet
Neale, Donald Walsch
Nedim, Gürsel
Neil, Gaiman
Neil, Simon
Nélida, Piñon
Ngaio, Marsh
Nicasio, Álvarez de Cienfuegos
Nikolai, Gogol
Nina, Bawden
Noël, Coward
Noel, Streatfeild
Norman, Mailer
Olga, Tokarczuk
Oliver, Goldsmith
Olja, Savičević
Omar, Khayyám
Baroness, Orczy
Oscar, Wilde
Otokar, Březina
Ovid,
Pablo, Neruda
Pádraic, Ó Conaire
Pádraig, Ó Siochfhradha
P,. L. Travers
Paolo, Iashvili
Pat, Barker
Patrick, McCabe
Patrick, Rothfuss
Paul, Biegel
Paul, Scott
Paul, van Loon
Paula, Gunn Allen
Paulo, Coelho
Pavao, Pavličić
Pearl, S. Buck
P,. G. Wodehouse
Penelope, Fitzgerald
Penelope, Lively
P,. H. Newby
Percy, Bysshe Shelley
Peretz, Hirschbein
Peretz, Markish
Petar, Šegedin
Petar, Zoranić
Peter, Carey
Peter, Handke
Peter, Kemp
Peter, van Gestel
Petronius,
Philip, K. Dick
Philip, Kerr
Philip, Pullman
Philip, Roth
Philip, Sidney
Phoebe, Waller-Bridge
P,. C. Cast
Pia, Juul
DBC, Pierre
Pierre, Corneille
Pierrette, Fleutiaux
Pieter, Corneliszoon Hooft
Pindar,
Plautus,
Pliny, the Younger
Polly, Devlin
Primo, Levi
Primož, Kozak
Prudens, van Duyse
Quintilian,
Rachel, Tzvia Back
Rachel, Billington
Rachel, Seiffert
Rafael, Sabatini
Rainer, Werner Fassbinder
Rainer, Maria Rilke
Raivo, Seppo
Ralph, Waldo Emerson
Ranko, Marinković
Ray, Bradbury
R,. C. Hutchinson
Raymond, Benson
Raymond, van de Klundert "Kluun"
Rebecca, Roanhorse
Remco, Campert
Renate, Dorrestein
René, Goscinny
Reşat, Nuri Güntekin
Reşat, Ekrem Koçu
Reyer, Anslo
Richard, Erdoes
Richard, Wagamese
Roald, Dahl
Robert, Browning
Robert, Burns
Robert, Frost
Robert, A. Heinlein
Robert, Musil
Robert, Perišić
Robert, Louis Stevenson
Robert, James Waller
Robertson, Davies
Robley, Wilson
Rochelle, Alers
Roddy, Doyle
Rohinton, Mistry
Romesh, Gunesekera
Ronald, Giphart
Rosamunde, Pilcher
Rose, Tremain
Rosina, Lippi
Rudyard, Kipling
Rupert, Atkinson
Rupert, Brooke
Rupert, Furneaux
Rupert, Holmes
Rupert, Hughes
Rupert, Sheldrake
Rupert, Thomson
Russell, Celyn Jones
Ruth, Gruber
Ruth, Prawer Jhabvala
Ruth, Rendell
Sabahattin, Ali
Marquis, de Sade
Şadi, Üçüncü
Sait, Faik Abasıyanık
Saken, Seifullin
Şakir, Bilgin
Salih, Saeed Ba-Amer
Salley, Vickers
Salman, Rushdie
Sam, Shepard
Samuel, Beckett
Samuel, Taylor Coleridge
Samuel, Pepys
Sappho,
Sarah, Hall
Sarah, Waters
Saul, Bellow
Seamus, Deane
Seán, Ó Faoláin
Sebastian, Barry
Sebastian, Faulks
Selina, Hastings
Selwyn, Jepson
Serena, B. Miller
Shelia, Goss
Shena, Mackay
Sherman, Alexie
Sherrilyn, Kenyon
Sherryl, Woods
Sherwin, Bitsui
Shirl, Henke
Shirlee, Busbee
Shirley, Hazzard
Shmuel, Hasfari
Shota, Rustaveli
Simon, Armitage
Simon, Carmiggelt
Simon, J. Ortiz
Simon, Pokagon
Simon, Vestdijk
Simone, de Beauvoir
Sinclair, Lewis
Slavenka, Drakulić
Slobodan, Novak
Slobodan, Šnajder
Snorri, Sturluson
Soman, Chainani
Sophocles,
Stan, Lee
Stanley, Middleton
Stendhal,
Stephen, Graham Jones
Stephen, King
Stephenie, Meyer
Stieg, Larsson
Sulkhan,-Saba Orbeliani
Sun, Bear
Sunčana, Škrinjarić
Süreyya, Aylin Antmen
Süreyyya, Evren
Susan, Cooper
Susan, Hill
Susannah, Clapp
Suzanne, Collins
Sybille, Bedford
Sylvia, Plath
Tais, Teng
Tami, Hoag
Tanya, Anne Crosby
Tena, Štivičić
Tennessee, Williams
Terence,
Terry, Pratchett
Tevfik, Fikret
Theodor, Geisel "Dr. Seuss"
Theodor, Mommsen
Thierry, Laget
T,. S. Eliot
Thomas, Hardy
Thomas, Keneally
Thomas, Ligotti
Thomas, Mann
Tibor, Fischer
Tim, Winton
Timothy, Mo
Titsian, Tabidze
Tom, Clancy
Tomislav, Ladan
Tomson, Highway
Toni, Morrison
Tor, Edvin Dahl
Trezza, Azzopardi
Tristan, Bancks
Truman, Capote
Twm, Morys
Umberto, Eco
Ursula, K. Le Guin
Üzeyir, Hacıbəyov
Václav, Havel
Vahagn, Davtyan
Vedrana, Rudan
Velma, Wallis
Vesna, Krmpotić
Vesna, Parun
Victor, Hugo
Viktor, Car Emin
Vincas, Krėvė-Mickevičius
Vincas, Kudirka
Vine, Deloria Jr.
Vinko, Vrbanić
Virgil,
Virginia, Woolf
Vítězslav, Hálek
Vjekoslav, Kaleb
Vjenceslav, Novak
Vladimir, Nabokov
Vladimir, Nazor
Walter, Scott
Washington, Irving
Wendy, Rose
Wilhelm, Grimm
Willem, Elsschot
Willem, Frederik Hermans
William, Trevor
William, Apess
William, Blake
William, Boyd
William, Faulkner
William, Golding
W,. Somerset Maugham
William, Shakespeare
William, Styron
William, Wharton
William, Wordsworth
William, Butler Yeats
Willy, Vandersteen
Winona, LaDuke
Winston, Ntshona
Witi, Ihimaera
Wolfram, von Eschenbach
Wyatt, Emory Cooper
Yann, Martel
Yaşar, Kemal
Yehonatan, Geffen
Zadie, Smith
Zarah, Ghahramani
Zdena, Tomin
Željko, Ivanković
Zitkála,-Šá
Zoë, Heller
Zoran, Ferić
Adrien, Brody
Al, Pacino
Alan, Arkin
Alec, Guinness
Alejandro, González Iñárritu
Alfonso, Cuarón
Alice, Brady
Alicia, Vikander
Allison, Janney
Ang, Lee
Angelina, Jolie
Anjelica, Huston
Anna, Magnani
Anna, Paquin
Anne, Bancroft
Anne, Baxter
Anne, Hathaway
Anne, Revere
Anthony, Hopkins
Anthony, Minghella
Anthony, Quinn
Art, Carney
Asghar, Farhadi
Audrey, Hepburn
Barbra, Streisand
Barry, Fitzgerald
Barry, Levinson
Beatrice, Straight
Ben, Johnson
Ben, Kingsley
Benicio, del Toro
Bernardo, Bertolucci
Bette, Davis
Billy, Wilder
Bob, Fosse
Brad, Pitt
Brenda, Fricker
Brie, Larson
